ID,Lat,Lon,Name,Population,Population Date
25611735,38.954278,-8.9897039,Vila Franca de Xira,16129,2011
25611742,38.7904338,-9.1792617,Odivelas,56847,2011
25611743,39.0930856,-9.260741,Torres Vedras,17837,2011
25611744,38.8308741,-9.1684512,Loures,43127,2011
25612845,38.8806123,-7.1637237,Elvas,16640,2011
25613456,41.2760977,-8.3768913,Paços de Ferreira,14486,2011
25613457,41.3647716,-8.1989321,Felgueiras,16094,2011
25613458,41.3794188,-8.7598689,Póvoa de Varzim,40053,2011
25613459,41.2329846,-8.6222375,Maia,40134,2011
25613461,41.2699316,-8.0804563,Amarante,12660,2011
25613462,41.1398199,-8.5326269,Gondomar,27047,2011
25613463,41.1835352,-8.1493798,Marco de Canaveses,10336,2011
25613464,41.3363471,-8.5585061,Trofa,17389,2011
25613467,41.3540398,-8.7435403,Vila do Conde,28636,2011
25615631,39.2107506,-8.6340173,Almeirim,11881,2011
25615637,39.1619462,-8.7863222,Cartaxo,10898,2011
25615638,39.3365387,-8.9364098,Rio Maior,7948,2011
25615640,39.4652196,-8.4682137,Entroncamento,Unknown,Unknown
25615644,39.6036596,-8.4150492,Tomar,18209,2011
25615645,39.65679,-8.57963,Ourém,44576,2021
25615646,39.4631905,-8.1973618,Abrantes,18450,2011
25619068,37.956549,-8.8689639,Sines,12463,2011
25619069,38.6642226,-9.07651,Barreiro,63353,2011
25619071,38.6422246,-9.1072662,Seixal,29373,2011
25619073,38.6831302,-9.1576301,Almada,96404,2011
25619074,38.3729735,-8.5122705,Alcácer do Sal,6679,2011
25623864,41.0083643,-8.6394111,Espinho,21185,2011
25623904,40.2111931,-8.4294632,Coimbra,105842,2011
25623905,39.2519303,-8.008997,Ponte de Sor,7752,2011
25624123,41.6067883,-7.3108525,Valpaços,4012,2011
25624124,41.1637043,-7.7875821,Peso da Régua,9530,2011
25624127,41.7399003,-7.4715213,Chaves,22363,2011
25653778,13.1388596,123.7343104,Legazpi,209533,2020-05-01
25721593,46.1753793,21.3196342,Arad,159074,Unknown
25730724,33.5945144,-7.6200284,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,3359818,2014
25735371,59.8586126,17.6387436,Uppsala,166698,2020
25738881,49.7933723,9.9309779,Würzburg,124700,Unknown
25763730,51.451283,6.62843,Moers,105102,Unknown
25840585,41.2493292,-77.0027671,Williamsport,29381,Unknown
25841904,-32.9272881,151.7812534,Newcastle,348539,2021
25869410,39.9207759,32.8540497,Ankara,5747325,2021
25869574,41.6759327,26.5587225,Edirne,173037,Unknown
25869575,40.146271,26.4028892,Çanakkale,519793,Unknown
25869577,41.7370223,27.2235523,Kırklareli,277984,Unknown
25869582,39.6473917,27.8879787,Balıkesir,1196170,Unknown
25869694,37.2151202,28.3636912,Muğla,923773,Unknown
25869720,38.7568597,30.5387044,Afyonkarahisar,747555,2022
25869729,40.1435101,29.9752911,Bilecik,51260,Unknown
25869752,37.7248394,30.2887286,Burdur,261401,Unknown
25869768,40.8391531,31.1595361,Düzce,370371,Unknown
25869769,39.7743941,30.519116,Eskişehir,888828,2021
25869814,37.872734,32.4924376,Konya,2161303,Unknown
25869815,39.4199106,29.9857886,Kütahya,573642,Unknown
25869819,38.6125793,27.4333969,Manisa,1396945,Unknown
25869820,38.6792659,29.4048895,Uşak,358736,Unknown
25869857,40.6582529,29.2699916,Yalova,241665,Unknown
25926749,46.3564692,17.7886886,Kaposvár,59270,Unknown
25928788,-33.9597212,22.4587148,George,Unknown,Unknown
25929985,59.3251172,18.0710935,Stockholm,984748,2022
25930131,57.7072326,11.9670171,Göteborg,522259,Unknown
25960293,35.6892523,51.3896004,تهران,8693706,Unknown
25963545,60.2047672,24.6568435,Espoo,293333,2021-01
25975135,59.3809146,13.5027631,Karlstad,62797,2018-03-28
25976250,-30.2962407,153.1135293,Coffs Harbour,51069,2021
26037035,49.2234674,18.7393139,Žilina,81494,Unknown
26037142,48.8922719,18.0387465,Trenčín,56759,Unknown
26037569,49.0000074,21.2392122,Prešov,91498,Unknown
26037632,48.3767652,17.5858175,Trnava,68038,Unknown
26037873,48.7383895,19.1585805,Banská Bystrica,80466,Unknown
26038567,32.6707877,51.6650002,اصفهان,1961260,Unknown
26038568,36.2974945,59.6059232,مشهد,3001184,Unknown
26038590,38.0738612,46.2978789,تبریز,1558693,Unknown
26082288,36.2804074,50.006663,قزوین,1000000,Unknown
26082452,29.6060218,52.5378041,شیراز,1565572,Unknown
26145758,40.2663107,-76.8861122,Harrisburg,49528,Unknown
26150422,50.4500336,30.5241361,Київ,2952301,2022-01-01
26150436,51.494099,31.294332,Чернігів,293969,Unknown
26150437,46.4843023,30.7322878,Одеса,1008852,Unknown
26150791,49.841952,24.0315921,Львів,724822,2019-01-01
26151301,52.4238936,31.0131698,Гомель,535693,2018-01-01
26162465,53.9024716,27.5618225,Мінск,1995471,2023-01-01
26235714,43.1065603,-79.0639039,Niagara Falls,82184,Unknown
26292942,46.5446253,24.561196,Târgu Mureș,134290,Unknown
26348017,43.1579812,-79.2441003,St. Catharines,133113,Unknown
26373169,50.735851,7.10066,Bonn,330224,2018-12-31
26396457,23.135305,-82.3589631,La Habana,2141993,Unknown
26399215,37.548341,45.0667111,ارومیه,736224,Unknown
26405498,56.0713724,-3.4616183,Dunfermline,53100,Unknown
26417322,-26.1563889,27.8858333,Roodepoort,325000,Unknown
26432122,54.3482907,18.6540233,Gdańsk,486345,2022
26432430,54.5164982,18.5402738,Gdynia,244104,2021-06-30
26454871,33.1976496,-96.6154471,McKinney,202690,2021-07-01
26480399,36.9863599,35.3252861,Adana,2258718,2021
26480484,37.5766959,43.7377862,Hakkâri,267813,Unknown
26480571,38.500875,43.3946051,Van,1141015,2021
26480597,39.9218784,44.0467957,Iğdır,192785,Unknown
26480875,37.5812744,36.927509,Kahramanmaraş,1112634,Unknown
26481523,36.7978381,34.6298391,Mersin,1773852,Unknown
26481742,37.0733588,36.2507673,Osmaniye,522175,Unknown
26482228,38.3705416,34.026907,Aksaray,423011,2021
26482281,37.1808502,33.2194554,Karaman,245610,Unknown
26482287,38.7219011,35.4873214,Kayseri,1389680,2018
26482294,39.8410483,33.5058536,Kırıkkale,351684,Unknown
26482519,39.1461142,34.1605587,Kırşehir,229975,Unknown
26482523,38.6250389,34.7150685,Nevşehir,290895,Unknown
26482716,37.969849,34.6764495,Niğde,351468,Unknown
26482940,39.7503572,37.0145185,Sivas,621224,Unknown
26482958,39.8221974,34.8080972,Yozgat,79611,Unknown
26482974,40.6503248,35.8329148,Amasya,114921,31-12-2021
26482975,41.1830811,41.8287448,Artvin,25841,31-12-2021
26483113,41.6338394,32.3384354,Bartın,81692,2021
26483234,40.2551608,40.2205036,Bayburt,90154,Unknown
26483306,40.5491496,34.9602453,Çorum,527863,Unknown
26483307,40.9174453,38.3847864,Giresun,444467,Unknown
26483350,40.4617844,39.4757339,Gümüşhane,172034,Unknown
26485694,41.1955402,32.6231154,Karabük,123309,31-12-2021
26485876,41.3765359,33.7770087,Kastamonu,125622,31-12-2021
26486071,40.9852301,37.8797732,Ordu,750588,Unknown
26486097,41.0248249,40.5199142,Rize,119828,31-12-2021
26486105,41.2946149,36.3320596,Samsun,1295927,Unknown
26486164,42.0265798,35.1511512,Sinop,56479,31-12-2021
26486186,40.3233534,36.552162,Tokat,602662,Unknown
26486267,41.4505752,31.7920828,Zonguldak,103079,2021-12-31
26486334,39.719125,43.0504894,Ağrı,535435,2021
26486338,41.1102966,42.7035585,Ardahan,96161,2021
26486414,38.8861265,40.4972333,Bingöl,269560,Unknown
26486498,38.4017779,42.1083064,Bitlis,352277,2021
26486523,38.6747164,39.2227135,Elâzığ,578789,Unknown
26486736,38.7322221,41.4898925,Muş,406501,Unknown
26486753,39.7467552,39.49103,Erzincan,226032,Unknown
26486754,39.90632,41.2727715,Erzurum,762021,Unknown
26486777,40.6076749,43.0948497,Kars,289786,Unknown
26486997,38.3487153,38.3190674,Malatya,781305,Unknown
26487261,39.1060641,39.5482693,Tunceli,34461,2015-01-01
26487468,37.7602379,38.2772662,Adıyaman,632459,2021
26487469,37.8835738,41.1277565,Batman,634491,2022
26487666,37.9162222,40.2363542,Diyarbakır,1804880,2022
26487670,37.0628317,37.3792617,Gaziantep,1556381,Unknown
26487717,36.7165552,37.1146069,Kilis,130825,Unknown
26487735,37.3132581,40.7354383,Mardin,862757,2021
26487743,37.1596239,38.791929,Şanlıurfa,2143020,2021
26487823,37.9273623,41.94218,Siirt,331980,2021
26487882,37.5219577,42.4570311,Şırnak,546589,2021
26506087,32.7762719,-96.7968559,Dallas,1288457,2021
26508322,-14.8567487,-40.8414804,Vitória da Conquista,370879,2023-08-31
26527255,22.4167422,-83.7002582,Pinar del Río,142967,2016
26528071,53.0162014,-2.1812607,Stoke-on-Trent,249000,Unknown
26544289,43.2363924,76.9457275,Алматы,1475400,2013-01-01
26553042,53.4301818,14.5509623,Szczecin,402465,Unknown
26553051,51.9383777,15.5050408,Zielona Góra,140403,Unknown
26559154,56.4617545,10.0371476,Randers,62687,2018-01-01
26559170,55.4894999,9.47905,Kolding,60508,2018-01-01
26559198,55.7000057,9.5333238,Vejle,56567,2018-01-01
26559213,56.1496278,10.2134046,Aarhus,273077,2018-01-01
26559274,55.3997225,10.3852104,Odense,178210,2018-01-01
26562214,43.4620412,-3.8099719,Santander,126045,2022
26576153,25.3833313,97.3999925,မြစ်ကြီးနား,150000,Unknown
26576172,20.1491458,94.9213518,မကွေး,289247,Unknown
26576173,22.0331367,96.4667341,ပြင်ဦးလွင်,255000,Unknown
26576174,19.674167,97.2094441,လွိုင်ကော်,17293,Unknown
26576175,16.7967129,96.1609916,ရန်ကုန်,5160512,2014
26576181,16.9136941,97.3689718,သထုံ,130763,Unknown
26576183,18.816667,95.216667,ပြည်,135308,Unknown
26576187,16.783333,94.733333,ပုသိမ်မြို့,315600,Unknown
26576191,22.933333,97.75,လားရှိုး,131016,Unknown
26576193,22.5666618,95.6999989,ရွှေဘို,88914,Unknown
26576195,21.8774215,95.9839956,စစ်ကိုင်း,300000,Unknown
26576200,14.0797232,98.1990191,ထားဝယ်မြို့,146964,Unknown
26576210,17.336667,96.479722,ပဲခူးမြို့,284179,Unknown
26576212,21.4587531,95.3924129,မြင်းခြံ,141713,Unknown
26576213,20.15,92.9,စစ်တွေ,177743,Unknown
26576214,18.9402101,96.4332782,တောင်ငူ,106945,Unknown
26576218,21.9596834,96.0948743,မန္တလေး,1208099,Unknown
26576220,22.1182175,95.1324747,မုံရွာ,182011,Unknown
26576223,20.8814233,95.8619463,မိတ္ထီလာမြို့,177442,Unknown
26576230,17.6457472,95.4609517,ဟင်္သာတမြို့,134947,Unknown
26576233,12.4319552,98.5955711,မြိတ်မြို့,209712,Unknown
26579688,33.6398609,-96.6089146,Sherman,43645,2020
26604766,29.4928874,60.8503017,زاهدان,587730,Unknown
26621545,52.131802,-106.660767,Saskatoon,246376,Unknown
26658747,52.2903172,-106.662554,Martensville,10549,Unknown
26671739,22.4065829,-79.9650993,Santa Clara,216056,2016
26686463,49.1196964,6.1763552,Metz,Unknown,Unknown
26686468,47.3900474,0.6889268,Tours,Unknown,Unknown
26686473,45.7774551,3.0819427,Clermont-Ferrand,143886,Unknown
26686477,49.2577886,4.031926,Reims,Unknown,Unknown
26686504,47.3215806,5.0414701,Dijon,156920,Unknown
26686508,47.9027336,1.9086066,Orléans,Unknown,Unknown
26686514,49.8941708,2.2956951,Amiens,Unknown,Unknown
26686518,43.6044622,1.4442469,Toulouse,441802,Unknown
26686524,45.8354243,1.2644847,Limoges,Unknown,Unknown
26686526,48.1113387,-1.6800198,Rennes,215366,2015
26686539,45.4401467,4.3873058,Saint-Étienne,173089,2018-01-01
26686548,47.2186371,-1.5541362,Nantes,309346,Unknown
26686554,47.2380222,6.0243622,Besançon,Unknown,Unknown
26686559,48.0073849,0.1967849,Le Mans,142946,Unknown
26686563,48.584614,7.7507127,Strasbourg,279284,Unknown
26686568,47.7467233,7.3389937,Mulhouse,109443,Unknown
26686572,47.4739884,-0.5515588,Angers,149017,Unknown
26686577,50.6365654,3.0635282,Lille,232741,2015
26686582,43.1257311,5.9304919,Toulon,178745,2019
26686585,43.8374249,4.3600687,Nîmes,149633,2018-01-01
26686587,49.4404591,1.0939658,Rouen,Unknown,Unknown
26686589,45.1875602,5.7357819,Grenoble,157650,2018-01-01
26686593,48.8356649,2.240206,Boulogne-Billancourt,Unknown,Unknown
26686595,43.5298424,5.4474738,Aix-en-Provence,143097,2018-01-01
26691694,46.1591126,-1.1520434,La Rochelle,78535,2021-01-01
26691769,46.5802596,0.340196,Poitiers,90240,2021-01-01
26691842,50.9524769,1.8538446,Calais,67380,2021-01-01
26691955,48.9479069,2.2481797,Argenteuil,104282,Unknown
26692111,47.6379599,6.8628942,Belfort,45155,2021-01-01
26692183,51.0347708,2.3772525,Dunkerque,86788,2021-01-01
26692215,44.9332277,4.8920811,Valence,64483,2021-01-01
26692216,48.8623357,2.4412184,Montreuil,Unknown,Unknown
26692383,48.935773,2.3580232,Saint-Denis,Unknown,Unknown
26692465,45.8992348,6.1288847,Annecy,131766,Unknown
26692561,48.6937223,6.1834097,Nancy,Unknown,Unknown
26692577,48.2971626,4.0746257,Troyes,Unknown,Unknown
26700976,54.0484068,-2.7990345,Lancaster,46000,Unknown
26700977,51.5882332,-2.9974967,Newport,130882,2021
26701158,53.7435722,-0.3394758,Hull,260700,Unknown
26701367,53.7944229,-1.7519186,Bradford,293717,Unknown
26707263,56.6514394,23.7339143,Jelgava,63534,Unknown
26707967,56.9493977,24.1051846,Rīga,660187,2023
26726183,50.44876,-104.61731,Regina,215106,Unknown
26755661,34.677874,-1.929306,Oujda ⵡⵊⴷⴰ وجدة,494252,2014-09-01
26756035,33.8984131,-5.5321582,Meknès ⴰⵎⴽⵏⴰⵙ مكناس,835695,2014
26756132,33.2433309,-8.49884,El Jadida ⵊⴷⵉⴷⴰ الجديدة,194934,Unknown
26756639,28.437553,-11.098664,Tan-Tan ⵟⴰⵏⵟⴰⵏ طانطان,60000,Unknown
26757722,47.8989887,20.3743665,Eger,50018,Unknown
26757724,47.531399,21.6259782,Debrecen,201582,Unknown
26761400,43.2961743,5.3699525,Marseille,855393,Unknown
26769661,49.142291,9.218655,Heilbronn,118122,Unknown
26804505,55.6052931,13.0001566,Malmö,316588,Unknown
26804967,57.5389148,25.4261688,Valmiera,26674,Unknown
26819236,37.7792588,-122.4193286,San Francisco,808437,2022-07-01
26867312,53.4877463,-2.2891921,Salford,258834,Unknown
26867377,50.2633173,-5.0518107,Truro,20332,Unknown
26867545,54.1362169,-1.5238006,Ripon,16000,Unknown
26878229,51.28597,-114.01062,Airdrie,54891,Unknown
26901966,64.563385,39.823769,Северодвинск,157213,2021-01-01
26903504,61.7900426,34.390007,Петрозаводск,235793,2023-01-01
