iter	Passed	Remaining
641	3975	615233
642	3981	615211
643	3987	615242
644	3993	615220
645	4000	615211
646	4006	615250
647	4013	615278
648	4019	615285
649	4025	615252
650	4031	615274
651	4037	615227
652	4043	615247
653	4050	615242
654	4056	615226
655	4062	615238
656	4068	615187
657	4074	615167
658	4081	615192
659	4087	615204
660	4093	615227
661	4099	615199
662	4106	615247
663	4112	615235
664	4118	615180
665	4124	615115
666	4130	615110
667	4136	615127
668	4142	615086
669	4149	615120
670	4155	615109
671	4161	615102
672	4167	615104
673	4173	615057
674	4185	615913
675	4191	615916
676	4198	615924
677	4204	615913
678	4210	615854
679	4216	615893
680	4222	615840
681	4228	615824
682	4234	615785
683	4240	615776
684	4247	615791
685	4253	615802
686	4259	615813
687	4266	615807
688	4272	615834
689	4279	615895
690	4285	615949
691	4292	615946
692	4298	615951
693	4304	615878
694	4310	615907
695	4316	615930
696	4323	615915
697	4329	615910
698	4335	615929
699	4342	615952
700	4348	615931
701	4354	615938
702	4360	615934
703	4366	615906
704	4372	615886
705	4378	615852
706	4385	615872
707	4396	616640
708	4403	616639
709	4409	616609
710	4415	616612
711	4421	616632
712	4427	616598
713	4434	616612
714	4440	616558
715	4446	616557
716	4452	616548
717	4458	616546
718	4464	616521
719	4470	616457
720	4477	616484
721	4483	616484
722	4489	616434
723	4495	616391
724	4501	616370
725	4507	616380
726	4513	616390
727	4520	616416
728	4526	616423
729	4532	616423
730	4539	616414
731	4545	616440
732	4551	616410
733	4557	616394
734	4563	616379
735	4570	616377
736	4576	616371
737	4582	616393
738	4589	616431
739	4595	616413
740	4601	616372
741	4607	616414
742	4614	616383
743	4620	616405
744	4626	616375
745	4632	616375
746	4638	616352
747	4644	616313
748	4651	616316
749	4656	616270
750	4663	616285
751	4669	616264
752	4675	616274
753	4681	616217
754	4687	616143
755	4693	616120
756	4699	616086
757	4705	616093
758	4711	616104
759	4718	616108
760	4724	616084
761	4730	616107
762	4737	616130
763	4743	616144
764	4749	616141
765	4756	616172
766	4762	616168
767	4768	616157
768	4774	616108
769	4781	616165
770	4787	616179
771	4793	616146
772	4799	616133
773	4805	616101
774	4811	616065
775	4818	616070
776	4823	616006
777	4829	615984
778	4836	615970
779	4841	615922
780	4847	615861
781	4853	615858
782	4859	615822
