City,DeltaTw,UHI Com,UDI Com,DN,Number of Pairs
Linfen,0.793022882,0.359713811,0.475455331,Night,1
Berlin,0.833775897,1.031680586,-0.162459992,Night,2
"Harrisburg, PA",0.865956961,0.801958577,0.095173453,Night,4
"Springdale, AR",0.912865929,0.223253148,0.724622711,Night,1
Nakhon Ratchasima,0.933744347,0.336486502,0.630752849,Night,1
Moscow,0.939972157,1.05641847,-0.084108758,Night,1
"St. Louis, MI",0.978651775,0.855833106,0.155118699,Night,1
Paris,0.979195602,1.197058172,-0.183324269,Night,1
Sarpsborg,1.031584585,0.662526819,0.40210148,Night,1
"Rochester, MN",1.09455078,0.484597621,0.644644675,Night,1
Dar es Salaam,1.139154955,0.358721197,0.810955053,Night,1
London,1.19201524,1.114317781,0.127233734,Night,1
Winnipeg,1.21481678,1.021168328,0.243679342,Night,1
Stuttgart,1.267574945,1.325283095,-0.002509129,Night,1
Brisbane,1.302498236,0.433844063,0.937967653,Night,1
Cordoba,1.389982376,0.877343865,0.569551403,Night,1
Gothenburg,1.433164481,0.639481462,0.837909066,Night,1
Quebec City,1.457601378,1.274821658,0.260037946,Night,1
Stockholm,1.562582095,1.241588044,0.409175565,Night,1
Oslo,1.634520232,1.157495189,0.57157117,Night,1
Oslo,1.636976863,1.085733941,0.639343182,Night,1
Zacatecas,1.891445797,1.263448394,0.732464791,Night,1
Puebla,1.900320097,1.333803042,0.655322358,Night,1
